Time,Resistor Voltage,Capacitor Voltage,,
s,V,V,,
27.1,1.007332295,1.056365604,,
27.2,1.016489805,1.059418107,,
27.3,1.016489805,1.065523114,,
27.4,1.007332295,1.068575617,,
27.5,1.007332295,1.065523114,,
27.6,1.016489805,1.080785629,,
27.7,1.010384799,1.083838132,,
27.8,1.010384799,1.089943138,,
27.9,1.001227289,1.092995641,,
28,1.007332295,1.10215315,,
28.1,1.004279792,1.099100647,,
28.2,1.001227289,1.105205653,,
28.3,1.013437302,1.111310659,,
28.4,1.010384799,1.114363162,,
28.5,1.001227289,1.117415665,,
28.6,1.004279792,1.120468169,,
28.7,0.998174786,1.120468169,,
28.8,0.998174786,1.123520672,,
28.9,1.004279792,1.126573175,,
29,0.989017277,1.138783187,,
29.1,0.995122283,1.144888193,,
29.2,0.998174786,1.147940696,,
29.3,0.985964774,1.150993199,,
29.4,0.99206978,1.154045702,,
29.5,0.99206978,1.150993199,,
29.6,0.989017277,1.160150708,,
29.7,0.995122283,1.166255714,,
29.8,0.982912271,1.17236072,,
29.9,0.985964774,1.175413223,,
30,0.985964774,1.17236072,,
30.1,0.973754762,1.18151823,,
30.2,0.982912271,1.190675739,,
30.3,0.995122283,1.193728242,,
30.4,0.989017277,1.196780745,,
30.5,0.989017277,1.193728242,,
30.6,0.973754762,1.199833248,,
30.7,0.989017277,1.21204326,,
30.8,0.985964774,1.21204326,,
30.9,0.970702259,1.208990757,,
31,0.982912271,1.218148266,,
31.1,0.989017277,1.227305775,,
31.2,0.985964774,1.230358278,,
31.3,0.985964774,1.233410781,,
31.4,0.967649756,1.230358278,,
31.5,0.979859768,1.245620794,,
31.6,0.976807265,1.248673297,,
31.7,0.979859768,1.248673297,,
31.8,0.985964774,1.245620794,,
31.9,0.973754762,1.260883309,,
32,0.976807265,1.263935812,,
32.1,0.964597253,1.263935812,,
32.2,0.970702259,1.270040818,,
32.3,0.976807265,1.276145824,,
32.4,0.964597253,1.276145824,,
32.5,0.973754762,1.288355836,,
32.6,0.973754762,1.288355836,,
32.7,0.973754762,1.288355836,,
32.8,0.979859768,1.297513346,,
32.9,0.970702259,1.300565849,,
33,0.967649756,1.306670855,,
33.1,0.979859768,1.309723358,,
33.2,0.995122283,1.303618352,,
33.3,0.989017277,1.315828364,,
33.4,0.998174786,1.312775861,,
33.5,0.998174786,1.324985873,,
33.6,0.998174786,1.318880867,,
33.7,0.989017277,1.334143382,,
33.8,1.007332295,1.331090879,,
33.9,1.028699817,1.343300891,,
34,1.037857326,1.349405897,,
34.1,1.028699817,1.349405897,,
34.2,1.022594811,1.355510904,,
34.3,1.010384799,1.3524584,,
34.4,1.013437302,1.364668413,,
34.5,1.010384799,1.370773419,,
34.6,1.010384799,1.370773419,,
34.7,1.004279792,1.376878425,,
34.8,1.004279792,1.370773419,,
34.9,1.022594811,1.389088437,,
35,1.016489805,1.39214094,,
35.1,1.022594811,1.389088437,,
35.2,1.028699817,1.398245946,,
35.3,1.016489805,1.404350952,,
35.4,1.022594811,1.401298449,,
35.5,1.028699817,1.413508462,,
35.6,1.028699817,1.419613468,,
35.7,1.028699817,1.410455958,,
35.8,1.025647314,1.422665971,,
35.9,1.022594811,1.428770977,,
36,1.010384799,1.43182348,,
36.1,1.016489805,1.43182348,,
36.2,1.016489805,1.440980989,,
36.3,1.016489805,1.447085995,,
36.4,1.010384799,1.440980989,,
36.5,1.007332295,1.450138498,,
36.6,0.99206978,1.459296007,,
36.7,1.007332295,1.465401013,,
36.8,1.007332295,1.456243504,,
36.9,1.007332295,1.468453516,,
37,0.99206978,1.477611026,,
37.1,0.998174786,1.480663529,,
37.2,1.004279792,1.483716032,,
37.3,1.004279792,1.480663529,,
37.4,1.001227289,1.489821038,,
37.5,0.982912271,1.495926044,,
37.6,0.998174786,1.50203105,,
37.7,0.995122283,1.508136056,,
37.8,0.99206978,1.505083553,,
37.9,0.995122283,1.505083553,,
38,0.979859768,1.511188559,,
38.1,0.985964774,1.517293565,,
38.2,0.989017277,1.526451074,,
38.3,0.985964774,1.529503578,,
38.4,0.985964774,1.535608584,,
38.5,0.982912271,1.54171359,,
38.6,0.989017277,1.544766093,,
38.7,0.985964774,1.544766093,,
38.8,0.985964774,1.550871099,,
38.9,0.982912271,1.550871099,,
39,0.985964774,1.553923602,,
39.1,0.982912271,1.556976105,,
39.2,0.982912271,1.566133614,,
39.3,0.985964774,1.57223862,,
39.4,0.973754762,1.578343626,,
39.5,0.979859768,1.578343626,,
39.6,0.985964774,1.587501136,,
39.7,0.989017277,1.590553639,,
39.8,0.985964774,1.590553639,,
39.9,0.982912271,1.596658645,,
40,0.976807265,1.599711148,,
40.1,0.973754762,1.602763651,,
40.2,0.976807265,1.602763651,,
40.3,0.982912271,1.602763651,,
40.4,0.982912271,1.618026166,,
40.5,0.982912271,1.624131172,,
40.6,0.979859768,1.627183675,,
40.7,0.973754762,1.630236178,,
40.8,0.979859768,1.630236178,,
40.9,0.985964774,1.633288681,,
41,0.982912271,1.633288681,,
41.1,0.979859768,1.639393687,,
41.2,0.970702259,1.6516037,,
41.3,0.973754762,1.654656203,,
41.4,0.973754762,1.657708706,,
41.5,0.979859768,1.660761209,,
41.6,0.973754762,1.654656203,,
41.7,0.967649756,1.669918718,,
41.8,0.967649756,1.676023724,,
41.9,0.973754762,1.676023724,,
42,0.976807265,1.679076227,,
42.1,0.979859768,1.688233736,,
42.2,0.976807265,1.688233736,,
42.3,0.973754762,1.685181233,,
42.4,0.973754762,1.700443748,,
42.5,0.973754762,1.703496252,,
42.6,0.973754762,1.703496252,,
42.7,0.985964774,1.715706264,,
42.8,0.982912271,1.709601258,,
42.9,0.985964774,1.72181127,,
43,0.985964774,1.724863773,,
43.1,0.982912271,1.730968779,,
43.2,0.979859768,1.730968779,,
43.3,0.979859768,1.737073785,,
43.4,0.985964774,1.737073785,,
43.5,0.982912271,1.743178791,,
43.6,0.982912271,1.746231294,,
43.7,0.985964774,1.7523363,,
43.8,0.985964774,1.749283797,,
43.9,0.985964774,1.76149381,,
44,0.985964774,1.758441306,,
44.1,0.985964774,1.767598816,,
44.2,0.989017277,1.773703822,,
44.3,0.985964774,1.770651319,,
44.4,0.985964774,1.779808828,,
44.5,0.985964774,1.776756325,,
44.6,0.985964774,1.785913834,,
44.7,0.989017277,1.795071343,,
44.8,0.985964774,1.788966337,,
44.9,0.985964774,1.801176349,,
45,0.989017277,1.807281355,,
45.1,0.99206978,1.801176349,,
45.2,0.989017277,1.813386361,,
45.3,0.99206978,1.816438864,,
45.4,0.99206978,1.816438864,,
45.5,0.99206978,1.822543871,,
45.6,0.989017277,1.828648877,,
45.7,0.99206978,1.837806386,,
45.8,0.989017277,1.828648877,,
45.9,0.985964774,1.840858889,,
46,0.985964774,1.850016398,,
46.1,0.982912271,1.853068901,,
46.2,0.982912271,1.843911392,,
46.3,0.979859768,1.856121404,,
46.4,0.976807265,1.865278913,,
46.5,0.979859768,1.868331416,,
46.6,0.979859768,1.874436422,,
46.7,0.979859768,1.865278913,,
46.8,0.976807265,1.874436422,,
46.9,0.982912271,1.883593932,,
47,0.99206978,1.886646435,,
47.1,0.995122283,1.892751441,,
47.2,0.998174786,1.898856447,,
47.3,0.998174786,1.90190895,,
47.4,0.995122283,1.908013956,,
47.5,1.001227289,1.914118962,,
47.6,0.998174786,1.914118962,,
47.7,0.998174786,1.911066459,,
47.8,0.998174786,1.917171465,,
47.9,0.998174786,1.920223968,,
48,0.995122283,1.923276471,,
48.1,0.998174786,1.929381477,,
48.2,0.99206978,1.935486484,,
48.3,0.99206978,1.938538987,,
48.4,0.989017277,1.947696496,,
48.5,0.985964774,1.947696496,,
48.6,0.985964774,1.953801502,,
48.7,0.989017277,1.956854005,,
48.8,0.989017277,1.959906508,,
48.9,0.998174786,1.962959011,,
49,1.004279792,1.969064017,,
49.1,0.998174786,1.969064017,,
49.2,1.001227289,1.97211652,,
49.3,1.007332295,1.990431538,,
49.4,1.004279792,1.990431538,,
49.5,0.99206978,1.993484042,,
49.6,0.995122283,1.996536545,,
49.7,0.998174786,1.993484042,,
49.8,0.998174786,2.005694054,,
49.9,0.998174786,2.01179906,,
50,0.995122283,2.014851563,,
50.1,0.998174786,2.017904066,,
50.2,0.99206978,2.01179906,,
50.3,0.982912271,2.027061575,,
50.4,0.985964774,2.030114078,,
50.5,0.998174786,2.030114078,,
50.6,0.99206978,2.036219084,,
50.7,0.995122283,2.045376593,,
50.8,0.995122283,2.04232409,,
50.9,0.989017277,2.0514816,,
51,0.998174786,2.054534103,,
51.1,1.001227289,2.060639109,,
51.2,1.004279792,2.066744115,,
51.3,0.99206978,2.057586606,,
51.4,1.007332295,2.072849121,,
51.5,1.001227289,2.072849121,,
51.6,0.995122283,2.085059133,,
51.7,0.995122283,2.085059133,,
51.8,0.99206978,2.091164139,,
51.9,1.001227289,2.094216642,,
52,1.001227289,2.094216642,,
52.1,0.995122283,2.103374151,,
52.2,0.982912271,2.106426654,,
52.3,1.001227289,2.109479158,,
52.4,0.995122283,2.115584164,,
52.5,0.99206978,2.118636667,,
52.6,0.99206978,2.124741673,,
52.7,0.989017277,2.12168917,,
52.8,1.004279792,2.130846679,,
52.9,0.998174786,2.127794176,,
53,0.998174786,2.140004188,,
53.1,0.99206978,2.136951685,,
53.2,0.99206978,2.149161697,,
53.3,0.982912271,2.140004188,,
53.4,0.979859768,2.155266703,,
53.5,0.995122283,2.161371709,,
53.6,0.99206978,2.155266703,,
53.7,0.995122283,2.170529219,,
53.8,0.989017277,2.167476716,,
53.9,0.973754762,2.170529219,,
54,0.982912271,2.179686728,,
54.1,0.995122283,2.182739231,,
54.2,1.001227289,2.185791734,,
54.3,1.001227289,2.194949243,,
54.4,0.998174786,2.201054249,,
54.5,1.001227289,2.188844237,,
54.6,1.004279792,2.201054249,,
54.7,1.004279792,2.213264261,,
54.8,1.007332295,2.213264261,,
54.9,0.995122283,2.216316764,,
55,1.007332295,2.213264261,,
55.1,1.007332295,2.225474274,,
55.2,1.007332295,2.23157928,,
55.3,1.013437302,2.237684286,,
55.4,1.013437302,2.240736789,,
55.5,1.013437302,2.243789292,,
55.6,1.004279792,2.249894298,,
55.7,1.013437302,2.243789292,,
55.8,1.010384799,2.246841795,,
55.9,1.010384799,2.249894298,,
56,1.019542308,2.252946801,,
56.1,1.016489805,2.26210431,,
56.2,1.001227289,2.265156813,,
56.3,1.010384799,2.268209316,,
56.4,1.010384799,2.277366825,,
56.5,1.001227289,2.286524335,,
56.6,1.010384799,2.289576838,,
56.7,1.007332295,2.295681844,,
56.8,1.013437302,2.298734347,,
56.9,1.013437302,2.30178685,,
57,1.010384799,2.304839353,,
57.1,1.013437302,2.304839353,,
57.2,1.004279792,2.304839353,,
57.3,0.995122283,2.320101868,,
57.4,1.010384799,2.326206874,,
57.5,1.001227289,2.329259377,,
57.6,0.989017277,2.329259377,,
57.7,1.001227289,2.326206874,,
57.8,0.998174786,2.34146939,,
57.9,1.004279792,2.344521893,,
58,1.010384799,2.34146939,,
58.1,0.998174786,2.353679402,,
58.2,1.004279792,2.356731905,,
58.3,0.998174786,2.353679402,,
58.4,0.989017277,2.368941917,,
58.5,0.995122283,2.368941917,,
58.6,0.989017277,2.368941917,,
58.7,0.979859768,2.378099426,,
58.8,0.989017277,2.381151929,,
58.9,0.985964774,2.381151929,,
59,0.973754762,2.390309438,,
59.1,0.982912271,2.393361941,,
59.2,0.979859768,2.396414444,,
59.3,0.973754762,2.405571954,,
59.4,0.967649756,2.402519451,,
59.5,0.982912271,2.414729463,,
59.6,0.976807265,2.414729463,,
59.7,0.967649756,2.408624457,,
59.8,0.982912271,2.423886972,,
59.9,0.995122283,2.414729463,,
60,0.989017277,2.429991978,,
